# Program:featureCounts v1.6.4; Command:"featureCounts" "-a" "/work/02260/grovesd/lonestar/Ceratina_calcarata_genome_MIN500/GCF_001652005.1_ASM165200v1_genomic.gff" "-p" "-t" "gene" "-g" "ID" "-o" "feature_counts_out.tsv" "-T" "64" "--primary" "SRR6819907_dupsRemoved.bam" "SRR6819908_dupsRemoved.bam" "SRR6819909_dupsRemoved.bam" "SRR6819910_dupsRemoved.bam" "SRR6819911_dupsRemoved.bam" "SRR6819912_dupsRemoved.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR6819907_dupsRemoved.bam	SRR6819908_dupsRemoved.bam	SRR6819909_dupsRemoved.bam	SRR6819910_dupsRemoved.bam	SRR6819911_dupsRemoved.bam	SRR6819912_dupsRemoved.bam
gene-LOC108630137	NW_017130860.1	286	3617	+	3332	3986	3706	4007	3536	3459	3868
gene-LOC108630204	NW_017130860.1	3549	6660	-	3112	1960	1650	2008	1643	1629	2031
gene-LOC108630428	NW_017130860.1	7427	11883	-	4457	3576	2969	3389	2762	2512	2703
gene-LOC108625126	NW_017130860.1	12234	14837	+	2604	275	446	766	103	68	123
gene-LOC108625517	NW_017130860.1	15084	17835	-	2752	262	169	192	265	248	537
gene-LOC108625314	NW_017130860.1	20656	24430	-	3775	3841	3418	4047	2878	2996	3400
gene-LOC108625655	NW_017130860.1	24468	25921	+	1454	2024	1831	2033	1844	1856	2394
gene-LOC108625598	NW_017130860.1	25865	26815	-	951	700	687	725	696	725	794
gene-LOC108625203	NW_017130860.1	26825	29170	+	2346	662	553	795	763	828	862
gene-LOC108625396	NW_017130860.1	28945	30817	-	1873	2113	1575	1935	1402	1388	1882
gene-LOC108625064	NW_017130860.1	30825	39932	+	9108	3625	3128	3736	2908	3210	3152
gene-LOC108630323	NW_017130860.1	39083	44531	+	5449	7044	5570	7756	8235	7638	9188
gene-LOC113463976	NW_017130860.1	44590	45256	-	667	74	60	45	36	43	36
gene-LOC108629901	NW_017130860.1	45188	50950	+	5763	6416	5090	6126	5389	5600	5542
gene-LOC108623485	NW_017130860.1	51768	55934	+	4167	3579	3077	3839	3476	3483	3790
gene-LOC108623319	NW_017130860.1	56230	62443	-	6214	928	662	946	805	885	754
gene-LOC108623244	NW_017130860.1	62528	65505	+	2978	87293	92084	87095	78984	81141	78083
gene-LOC108623171	NW_017130860.1	66097	69619	-	3523	17606	15648	17937	13498	13911	14778
gene-LOC108629049	NW_017130860.1	70301	83339	+	13039	1518	1700	1418	1007	1131	955
gene-LOC108623909	NW_017130860.1	83888	85703	+	1816	2159	1872	2116	2070	2200	2460
gene-LOC108623975	NW_017130860.1	85813	90294	+	4482	1059	946	1065	937	961	1094
gene-LOC113464111	NW_017130860.1	87215	91814	-	4600	237	161	192	220	178	226
gene-LOC108623775	NW_017130860.1	92002	169494	-	77493	11522	10059	11629	11469	12163	9538
gene-LOC108628026	NW_017130860.1	170226	185184	+	14959	8455	6901	7817	6330	6249	5600
gene-LOC108621989	NW_017130860.1	187129	189742	-	2614	404	346	363	323	340	362
gene-LOC108621903	NW_017130860.1	188947	191843	+	2897	418	320	398	422	402	389
gene-LOC108632655	NW_017130860.1	192216	196208	+	3993	3670	2823	3250	1788	2301	2273
gene-LOC108621901	NW_017130860.1	196064	199135	-	3072	216	256	264	1077	322	615
gene-LOC108628565	NW_017130860.1	201818	248592	+	46775	3675	3762	3633	4649	5054	4196
gene-LOC108629258	NW_017130860.1	249974	252704	+	2731	4363	4817	4438	3654	3297	3827
gene-LOC108629202	NW_017130860.1	252555	256559	-	4005	1493	1113	1541	1230	1333	1351
gene-LOC108627083	NW_017130860.1	256681	306297	+	49617	7355	6070	6780	5880	6295	5861
gene-LOC108627004	NW_017130860.1	269663	306284	-	36622	0	0	0	0	0	0
gene-LOC108628353	NW_017130860.1	307693	314731	+	7039	3436	3369	3339	4486	4279	4228
gene-LOC108628416	NW_017130860.1	315541	336625	-	21085	6746	6196	6263	7871	7680	6938
gene-LOC108632576	NW_017130860.1	337280	338782	+	1503	1070	963	1012	673	757	864
gene-LOC108631138	NW_017130860.1	339002	343470	-	4469	1857	1564	1783	1569	1584	1686
gene-LOC108632424	NW_017130860.1	343604	345501	+	1898	1209	1080	1392	1084	1220	1429
gene-LOC108632128	NW_017130860.1	345633	347521	-	1889	17	25	18	40	47	48
gene-LOC108632360	NW_017130860.1	347613	350580	-	2968	1457	1121	1437	1138	1265	1503
gene-LOC108629173	NW_017130860.1	352629	354918	-	2290	11	6	13	23	3	11
gene-LOC108627746	NW_017130860.1	358855	373382	-	14528	4260	3610	3701	4540	5429	3333
gene-LOC108632186	NW_017130860.1	373288	378287	+	5000	3382	3228	3442	3563	2990	3695
gene-LOC108632491	NW_017130860.1	374086	375382	-	1297	0	0	0	0	0	0
gene-LOC108632051	NW_017130860.1	378394	382396	-	4003	6673	5784	6614	5169	5504	5855
gene-LOC108631880	NW_017130860.1	382509	385106	+	2598	5519	4948	5490	5378	5095	5990
gene-LOC108625488	NW_017130860.1	385172	404588	-	19417	5138	4261	5001	5062	5380	3980
gene-LOC108629411	NW_017130860.1	409582	418418	-	8837	2955	2234	2657	2761	2928	1846
gene-LOC108633029	NW_017130860.1	418629	421560	-	2932	2727	1887	2712	1815	1715	1933
gene-LOC108627766	NW_017130860.1	422327	424287	+	1961	954	758	962	691	740	960
gene-LOC108627942	NW_017130860.1	424171	426249	-	2079	1090	833	882	867	881	1041
gene-LOC108627871	NW_017130860.1	426196	430099	+	3904	5721	4938	4906	4264	4589	3571
gene-LOC108630888	NW_017130860.1	434320	437969	-	3650	2368	2097	2462	2141	2128	2278
gene-LOC108622114	NW_017130860.1	438089	439329	-	1241	2549	2344	2801	2534	2517	2967
gene-LOC108624081	NW_017130860.1	439472	444589	+	5118	303	229	318	242	229	234
gene-LOC108632874	NW_017130860.1	444686	449142	-	4457	493	395	532	510	487	501
gene-LOC108630695	NW_017130860.1	449262	453135	+	3874	11977	9949	12981	11878	12648	13326
gene-LOC108622330	NW_017130860.1	453552	466073	+	12522	3207	2900	3070	4074	3971	3209
gene-LOC108622926	NW_017130860.1	466121	468673	-	2553	1619	1344	1563	1276	1367	1567
gene-LOC108622402	NW_017130860.1	468726	475508	+	6783	4006	3385	3598	3208	3451	3020
gene-LOC108623040	NW_017130860.1	476044	478509	-	2466	5064	4410	4646	3762	3852	4230
gene-LOC108622642	NW_017130860.1	478592	480988	+	2397	2515	2327	2735	1938	1983	2251
gene-LOC108622480	NW_017130860.1	481047	489465	-	8419	4310	3415	4072	4228	3865	3696
gene-LOC108632423	NW_017130860.1	490084	492409	-	2326	6	8	8	3	4	10
gene-LOC108624795	NW_017130860.1	492654	495598	+	2945	1183	880	1032	1034	906	841
gene-LOC108630566	NW_017130860.1	497202	512791	-	15590	4545	4700	4029	6081	5109	5401
gene-LOC108628628	NW_017130860.1	514342	518287	+	3946	11221	9968	10460	9366	9611	9614
gene-LOC108628721	NW_017130860.1	518378	520827	+	2450	812	700	763	683	643	700
gene-LOC108633090	NW_017130860.1	521162	523422	+	2261	16422	15411	16335	14457	14815	15474
gene-LOC108627702	NW_017130860.1	523724	530500	+	6777	22703	17762	23832	8185	11437	10036
gene-LOC108627519	NW_017130860.1	530497	538333	+	7837	2923	2428	2944	2245	2331	2268
gene-LOC108629612	NW_017130860.1	619523	695838	+	76316	2036	2187	2504	1225	1627	1343
gene-LOC108621902	NW_017130860.1	732987	779236	+	46250	120	102	131	122	109	87
gene-LOC108624944	NW_017130860.1	775785	779216	-	3432	0	0	0	0	0	0
gene-LOC108624749	NW_017130860.1	779153	781901	+	2749	1410	1203	1460	1233	1260	1451
gene-LOC108624517	NW_017130860.1	781604	791220	-	9617	305	266	281	249	228	250
gene-LOC113464297	NW_017130860.1	785088	828098	+	43011	892	1035	910	1699	1304	1603
gene-LOC108624675	NW_017130860.1	796824	802328	-	5505	0	0	0	0	0	0
gene-LOC108624604	NW_017130860.1	808987	822667	-	13681	0	0	0	0	0	0
gene-LOC108624870	NW_017130860.1	828265	846897	-	18633	9677	6872	8879	9349	10446	10460
gene-LOC113464209	NW_017130860.1	832642	836817	+	4176	0	0	0	0	0	0
gene-LOC108629412	NW_017130860.1	847376	852509	+	5134	1179	1028	1347	1463	1418	1837
gene-LOC108629335	NW_017130860.1	852605	855350	+	2746	873	745	838	746	787	828
gene-LOC108629527	NW_017130860.1	854619	856622	-	2004	605	485	680	519	553	648
gene-LOC108624050	NW_017130860.1	859430	861679	-	2250	1605	1415	1749	1613	1577	1576
gene-LOC108624145	NW_017130860.1	862146	864124	+	1979	2747	2280	2634	2654	2969	3353
gene-LOC108624450	NW_017130860.1	865509	867015	-	1507	356	312	415	337	339	407
gene-LOC113464749	NW_017130860.1	867220	868206	-	987	62	51	51	46	38	46
gene-LOC108624386	NW_017130860.1	868348	869643	+	1296	1506	1141	1165	1180	1204	1567
gene-LOC108624216	NW_017130860.1	869646	889754	-	20109	30361	28788	29709	32351	31699	27530
gene-LOC108626876	NW_017130860.1	890048	922420	+	32373	960	819	845	695	810	745
gene-LOC108626552	NW_017130860.1	890209	918729	-	28521	0	0	0	0	0	0
gene-LOC108622262	NW_017130860.1	922528	927418	+	4891	180	192	367	182	247	192
gene-LOC108622641	NW_017130860.1	927430	929241	-	1812	6622	5939	5352	6257	6976	7401
gene-LOC113464890	NW_017130860.1	929954	931006	-	1053	291	286	341	374	351	478
gene-LOC108625728	NW_017130860.1	931058	938529	+	7472	790	730	751	871	1081	1270
gene-LOC108625800	NW_017130860.1	943891	947356	+	3466	2521	2367	3922	1739	2004	2140
gene-LOC108625921	NW_017130860.1	952516	958311	+	5796	887	789	1082	1152	1151	1066
gene-LOC108626057	NW_017130860.1	961532	979583	-	18052	3189	2782	3294	3357	3249	2704
gene-LOC108626424	NW_017130860.1	980488	982415	+	1928	2560	2325	2332	1936	1984	2308
gene-LOC108626123	NW_017130860.1	983750	991704	-	7955	6283	5228	6050	5162	5214	5605
gene-LOC108626192	NW_017130860.1	991765	998539	+	6775	7533	6147	7341	6558	7064	6724
gene-LOC108628488	NW_017130860.1	1005147	1047464	+	42318	2978	2667	3373	4482	5001	4138
gene-LOC108630764	NW_017130860.1	1100258	1152041	+	51784	574	496	727	567	635	584
gene-LOC108629783	NW_017130860.1	1214963	1271539	+	56577	1953	1563	2212	2048	2118	1750
gene-LOC108632945	NW_017130860.1	1296678	1329313	+	32636	1026	917	925	1381	1349	1327
gene-LOC108622192	NW_017130860.1	1377864	1394704	+	16841	52	97	79	354	259	290
gene-LOC108623396	NW_017130860.1	1394799	1397693	-	2895	501	375	649	464	420	545
gene-LOC108628863	NW_017130860.1	1397777	1403296	-	5520	1117	929	1156	854	986	1077
gene-LOC108628946	NW_017130860.1	1400454	1404893	+	4440	1620	1447	1651	1379	1609	1747
gene-LOC108628781	NW_017130860.1	1404920	1408084	-	3165	6489	5061	6493	3659	3806	4687
gene-LOC108630968	NW_017130861.1	9550	118527	-	108978	172	157	144	285	244	146
gene-LOC108631034	NW_017130862.1	21063	27339	+	6277	666	653	593	395	472	595
gene-LOC108631693	NW_017130863.1	3260	33151	+	29892	3812	3507	3569	3127	3567	3037
gene-LOC113465164	NW_017130863.1	14816	15584	+	769	0	0	0	0	0	0
gene-LOC108631113	NW_017130863.1	32972	34839	+	1868	2744	2694	2347	2288	2344	2449
gene-LOC108631767	NW_017130863.1	53395	68197	-	14803	3414	2878	3325	2980	2759	2100
gene-LOC108631195	NW_017130863.1	99215	103308	+	4094	1538	1179	1509	889	1017	1063
gene-LOC108631624	NW_017130863.1	103749	106395	+	2647	806	686	803	571	626	676
gene-LOC108632000	NW_017130863.1	106558	112484	+	5927	3094	4334	3815	3536	3764	3653
gene-LOC108632006	NW_017130863.1	112295	113894	-	1600	1528	1330	1495	1292	1391	1706
gene-LOC108631477	NW_017130863.1	114478	117542	-	3065	1302	864	1063	1023	1201	889
gene-LOC108631981	NW_017130863.1	117937	120772	-	2836	29085	28658	31102	720	10861	8092
gene-LOC108631932	NW_017130863.1	121086	129445	-	8360	1685	1490	1876	523	654	697
gene-LOC108631558	NW_017130863.1	132398	134840	-	2443	567	364	483	221	271	286
gene-LOC108631258	NW_017130863.1	135392	144496	-	9105	9651	7163	6223	1706	2544	5572
gene-LOC108631988	NW_017130863.1	147556	151530	-	3975	10687	10434	13205	6646	6429	6616
gene-LOC108631332	NW_017130863.1	152639	155717	-	3079	95	61	86	15	31	36
gene-LOC108631403	NW_017130863.1	155891	157453	+	1563	690	559	599	961	922	816
gene-LOC108632022	NW_017130879.1	25	523	+	499	667	557	667	502	533	675
gene-LOC108632052	NW_017130950.1	391	3014	+	2624	3	5	3	3	4	5
gene-LOC108632061	NW_017131009.1	7	516	-	510	560	526	589	532	548	922
gene-LOC108632070	NW_017131016.1	34	468	-	435	66	66	48	194	177	110
gene-LOC113465190	NW_017131024.1	5458	6282	+	825	3	3	6	4	10	2
gene-LOC108632098	NW_017131077.1	1350	6993	+	5644	469	449	450	894	740	533
gene-LOC108632140	NW_017131077.1	13650	15834	-	2185	2827	2331	2730	2298	2278	2856
gene-LOC108632151	NW_017131077.1	15961	17434	+	1474	1263	900	1155	1178	1226	1325
