# Program:featureCounts v1.6.4; Command:"featureCounts" "-a" "/work/02260/grovesd/lonestar/chimp_genome/Pan_troglodytes.Pan_tro_3.0.99.gff3" "-p" "-t" "gene" "-g" "ID" "-o" "feature_counts_out.tsv" "-T" "48" "--primary" "chimp4x0516_heart_rna_dupsRemoved.bam" "chimp4x0516_kidney_rna_dupsRemoved.bam" "chimp4x0516_liver_rna_dupsRemoved.bam" "chimp4x0516_lung_rna_dupsRemoved.bam" "chimp4x0519_heart_rna_dupsRemoved.bam" "chimp4x0519_kidney_rna_dupsRemoved.bam" "chimp4x0519_liver_rna_dupsRemoved.bam" "chimp4x0519_lung_rna_dupsRemoved.bam" "chimpYN07-147_heart_rna_dupsRemoved.bam" "chimpYN07-147_kidney_rna_dupsRemoved.bam" "chimpYN07-147_liver_rna_dupsRemoved.bam" "chimpYN07-147_lung_rna_dupsRemoved.bam" "chimpYN07-387_heart_rna_dupsRemoved.bam" "chimpYN07-387_kidney_rna_dupsRemoved.bam" "chimpYN07-387_liver_rna_dupsRemoved.bam" "chimpYN07-387_lung_rna_dupsRemoved.bam" 
Geneid	Chr	Start	End	Strand	Length	chimp4x0516_heart_rna_dupsRemoved.bam	chimp4x0516_kidney_rna_dupsRemoved.bam	chimp4x0516_liver_rna_dupsRemoved.bam	chimp4x0516_lung_rna_dupsRemoved.bam	chimp4x0519_heart_rna_dupsRemoved.bam	chimp4x0519_kidney_rna_dupsRemoved.bam	chimp4x0519_liver_rna_dupsRemoved.bam	chimp4x0519_lung_rna_dupsRemoved.bam	chimpYN07-147_heart_rna_dupsRemoved.bam	chimpYN07-147_kidney_rna_dupsRemoved.bam	chimpYN07-147_liver_rna_dupsRemoved.bam	chimpYN07-147_lung_rna_dupsRemoved.bam	chimpYN07-387_heart_rna_dupsRemoved.bam	chimpYN07-387_kidney_rna_dupsRemoved.bam	chimpYN07-387_liver_rna_dupsRemoved.bam	chimpYN07-387_lung_rna_dupsRemoved.bam
gene:ENSPTRG00000047549	1	44315	57629	+	13315	9	107	16	13	114	236	84	100	98	167	28	66	16	114	65	95
gene:ENSPTRG00000050965	1	58168	72585	-	14418	829	1038	592	978	777	967	543	699	1055	752	423	1054	665	857	601	1019
gene:ENSPTRG00000049558	1	72690	80217	+	7528	66	169	80	163	92	227	90	152	123	140	79	195	79	192	127	232
gene:ENSPTRG00000050603	1	79811	85956	+	6146	55	75	6	34	178	14	33	16	110	26	12	26	105	17	11	63
gene:ENSPTRG00000043702	1	86481	86892	+	412	143	4	2	0	137	3	8	3	142	0	0	0	155	1	1	0
gene:ENSPTRG00000039445	1	107614	109147	-	1534	51	43	4	59	137	44	39	55	93	30	14	167	110	37	17	93
gene:ENSPTRG00000039924	1	126401	127509	+	1109	232	258	441	243	190	135	205	296	151	174	154	242	145	143	180	276
gene:ENSPTRG00000043683	1	133285	167989	+	34705	301	3081	433	1878	374	3171	654	1350	871	2065	424	1956	411	2945	522	2954
gene:ENSPTRG00000049634	1	183880	184602	-	723	1	8	0	5	1	10	0	1	0	2	0	2	0	3	0	3
gene:ENSPTRG00000052382	1	193735	199301	+	5567	203	419	160	501	135	289	95	296	173	194	131	362	123	303	159	408
gene:ENSPTRG00000044667	1	250432	254242	-	3811	0	2	0	0	0	0	1	3	1	0	0	1	0	0	0	0
gene:ENSPTRG00000048096	1	268349	269234	-	886	13	12	7	4	17	23	12	20	10	14	14	11	16	21	18	22
gene:ENSPTRG00000000008	1	363597	382915	+	19319	99	86	6	356	64	53	3	119	98	54	12	301	66	62	6	226
gene:ENSPTRG00000000009	1	387674	390634	+	2961	8	75	5	88	48	25	15	126	15	36	9	150	8	35	9	191
gene:ENSPTRG00000044847	1	395835	398448	-	2614	57	31	1	19	83	21	4	55	106	24	5	93	68	27	4	133
gene:ENSPTRG00000050180	1	401522	417130	-	15609	1569	2496	1697	1746	1592	2589	1742	1572	1760	1846	1721	2298	1301	2181	2190	2276
