# Program:featureCounts v1.6.4; Command:"featureCounts" "-a" "/work/02260/grovesd/lonestar/Ooceraea_biroi_genome/GCF_003672135.1_Obir_v5.4_genomic.gff" "-p" "-t" "gene" "-g" "ID" "-o" "feature_counts_out.tsv" "-T" "64" "--primary" "SRR2969431_dupsRemoved.bam" "SRR2969433_dupsRemoved.bam" "SRR2969435_dupsRemoved.bam" "SRR2969436_dupsRemoved.bam" "SRR2969437_dupsRemoved.bam" "SRR2969438_dupsRemoved.bam" "SRR2969440_dupsRemoved.bam" "SRR2969447_dupsRemoved.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR2969431_dupsRemoved.bam	SRR2969433_dupsRemoved.bam	SRR2969435_dupsRemoved.bam	SRR2969436_dupsRemoved.bam	SRR2969437_dupsRemoved.bam	SRR2969438_dupsRemoved.bam	SRR2969440_dupsRemoved.bam	SRR2969447_dupsRemoved.bam
gene-LOC105288151	NC_039506.1	1070	7288	+	6219	7	3	4	6	7	10	7	7
gene-LOC105288134	NC_039506.1	45264	47168	+	1905	780	90	50	42	349	39	51	49
gene-LOC113562166	NC_039506.1	103515	108786	+	5272	44	31	33	61	46	33	52	52
gene-LOC105288138	NC_039506.1	134260	142204	-	7945	9672	9201	6932	6435	7103	6238	11109	7926
gene-LOC105288140	NC_039506.1	143775	267542	-	123768	4232	4561	3242	3758	2903	2540	3536	3528
gene-LOC105288139	NC_039506.1	260227	263340	+	3114	0	0	0	0	0	0	0	0
gene-LOC113562194	NC_039506.1	271139	273181	-	2043	60	52	52	60	94	106	172	126
gene-LOC105288142	NC_039506.1	273665	275760	+	2096	1	8	1	14	1	11	0	11
gene-LOC105288150	NC_039506.1	279299	297434	-	18136	916	1054	639	775	662	635	999	934
gene-LOC105288144	NC_039506.1	299178	309425	-	10248	201	137	92	114	88	115	122	133
gene-LOC105287009	NC_039506.1	310674	322599	-	11926	7	7	11	7	13	14	8	12
gene-LOC105287258	NC_039506.1	324544	334991	-	10448	8	4	8	4	3	5	9	5
gene-LOC105287298	NC_039506.1	337710	351091	-	13382	3	11	10	16	5	9	4	8
gene-LOC105285568	NC_039506.1	352522	364599	-	12078	6	10	14	9	11	14	7	7
gene-LOC105285437	NC_039506.1	364796	369330	-	4535	14	25	8	9	3	5	0	15
gene-LOC105285439	NC_039506.1	370197	377142	+	6946	54	79	48	25	29	40	42	27
gene-LOC113563206	NC_039506.1	404381	409670	-	5290	7	4	1	1	5	1	5	3
